episode;reward;average
1;-316.00783509681924;-316.00783509681924
2;-348.8384126126766;-332.4231238547479
3;-499.6546195211568;-388.1669557435509
4;-333.15252197188534;-374.4133473006345
5;-226.43592754083795;-344.8178633486752
6;-241.8904833136507;-327.66330000950444
7;-222.87585364524443;-312.6936648146102
8;-283.97234050166094;-309.10349927549146
9;247.77078854308905;-247.22857840676028
10;-303.68544927658013;-252.87426549374226
11;-305.5848254883299;-257.66613458415935
12;-549.3481695357642;-281.97297083012637
13;-121.80105753035924;-269.652054422452
14;-256.38484059431846;-268.70439629187103
15;-114.12598301312795;-258.39916873995486
16;-269.0912956248727;-259.0674266702622
17;-20.308612424166682;-245.0227905381389
18;-277.7091432537776;-246.83869902234105
19;-183.16608600044606;-243.48750886329393
20;-258.7013455504736;-244.24820069765292
21;-216.97604741959265;-242.94952673203102
22;-75.2222865616873;-235.32556126974268
23;-90.84972914854458;-229.04400335142972
24;-201.671898183203;-227.9034989694203
25;-253.47078159372313;-228.92619027439244
26;-198.4887164288729;-227.7555182034109
27;-364.7276196113291;-232.82855899629678
28;-471.2457517420084;-241.34345873721503
29;-317.07765350740874;-243.95498269480788
30;-236.260757331544;-243.6985085160324
31;-188.7096720037507;-241.92467508015235
32;-431.1747280275527;-247.83873923475866
33;-183.8129232149373;-245.8985629917338
34;-145.5284604493844;-242.94650115225292
35;-127.30921289556167;-239.64257863063315
36;-216.66150380378267;-239.00421544099845
37;-292.5706901093399;-240.45195799960229
38;-296.87447130336875;-241.93676098128034
39;147.4516561627085;-231.95244259297294
40;-96.0517410645519;-228.55492505476235
41;-21.515345020471244;-223.50517920026743
42;-72.04225521129229;-219.89891910529184
43;-42.442120432902954;-215.77201681058511
44;-230.8292983276104;-216.11422775415386
45;19.617212494632255;-210.87575130418085
46;147.37377036161303;-203.08771822448966
47;-35.145732583452016;-199.51448448744634
48;214.09057599456378;-190.89771239407114
49;-17.065805438047196;-187.35012245619308
50;210.65122280644087;-179.39009555094043
51;-179.08659215936743;-179.38414450404682
52;-243.6108750030376;-180.61927393671974
53;-56.569410558222046;-178.27871047674807
54;-217.51556934913094;-179.0053189743848
55;-566.2754182599818;-186.0465935068502
56;-394.48796639228806;-189.76876087980443
57;-263.5230311553281;-191.0626954460417
58;-72.24097736389311;-189.0140451342805
59;-105.27495445284634;-187.5947385125613
60;-485.8066489757397;-192.56493702028095
61;-351.4666699665555;-195.16988346202317
62;-186.71206525101326;-195.03346703926493
63;-636.1888902206217;-202.03593407388965
64;-572.4082015571713;-207.8230007533159
65;-590.75955052294;-213.7143322882332
66;-517.0027594926044;-218.30961148829945
67;-802.3760985474346;-227.0270217429134
68;-514.5793886716347;-231.25573302127694
69;-564.1894331821732;-236.0808591105653
70;-47.01006526816562;-233.37984776995958
71;-210.58246294560843;-233.05875784285607
72;-168.6944294253592;-232.16480883705742
73;-18.837931947548853;-229.24252285226964
74;-134.2386319609464;-227.9586864888734
75;-118.41775192144624;-226.49814069464105
76;-212.74328341818216;-226.3171557304771
77;-23.45531076507242;-223.68258631534198
78;-187.85536001849482;-223.2232629012798
79;-194.47773656796952;-222.85939547933916
80;-423.11227807786406;-225.36255651182077
81;-299.52525766857445;-226.27814541499058
82;-28.117502236307082;-223.8615522054944
83;-521.8030127624512;-227.45120835678307
84;-161.9949872478401;-226.67196762929564
85;-80.87362416618107;-224.95669300031784
86;-348.0381581479262;-226.3878728276156
87;-182.79143270466767;-225.88676432045528
88;-45.78426847309439;-223.84014504946254
89;-20.017364214300386;-221.5500014445731
90;-214.37156702613683;-221.47024106214602
91;-191.24307280228595;-221.13807437797172
92;-106.92525849968678;-219.8966307271208
93;-233.9731313962517;-220.0479909493695
94;-88.19812997332605;-218.6453328538797
95;-114.94418274423326;-217.55374180009392
96;-67.87597440864732;-215.99459838976637
97;-323.63105878756903;-217.10425262067156
98;-43.198462219913964;-215.32970373903117
99;-204.72372571043903;-215.22257264783326
100;-318.1946702881878;-216.2522936242368
101;-279.95912326000064;-215.89180650586863
102;0.55313486947081;-212.39789103104715
103;-133.30552821227684;-208.73440011795836
104;-19.15202394836561;-205.59439513772315
105;-95.71356074717086;-204.28717146978653
106;-129.37748991910897;-203.16204153584104
107;-319.00862652440935;-204.12336926463274
108;59.49947086595936;-200.68865115095653
109;-252.36792169826066;-205.69003825337003
110;-371.15720840407994;-206.36475584464503
111;-50.575742470133726;-203.81466501446306
112;270.03084953198413;-195.62087482378553
113;155.39473985789272;-192.84891684990305
114;-56.64735519041865;-190.85154199586407
115;-6.110216419398501;-189.77138432992678
116;-7.077990192654021;-187.15125127560464
117;-112.89840869816761;-188.07714923834462
118;-92.97302626169038;-186.22978806842374
119;-96.88694704038157;-185.36699667882309
120;-58.27077569466582;-183.362690980265
121;-104.20062284610698;-182.23493673453012
122;-35.37246247153844;-181.83643849362866
123;-111.26534041764064;-182.04059460631962
124;-289.21603726953026;-182.91603599718292
125;-57.807979573640395;-180.95940797698208
126;199.46223352410885;-176.97989847745225
127;-87.04597843921579;-174.2030820657311
128;48.03819928790652;-169.01024255543197
129;-277.0549576835084;-168.61001559719298
130;276.39738958991916;-163.48343412797834
131;-65.649153949168;-162.2528289474325
132;-360.9121045710149;-161.5502027128671
133;-140.84804035859216;-161.12055388430363
134;-246.50934426285875;-162.1303627224384
135;251.05930865488065;-158.346677506934
136;77.47668563049118;-155.40529561259126
137;-49.0134945394546;-152.96972365689237
138;-181.45590438594098;-151.81553798771813
139;-38.76207586796597;-153.67767530802487
140;-70.44251799695243;-153.42158307734888
141;212.081029845701;-151.08561932868713
142;21.011480863454636;-150.15508196793968
143;260.7827654445231;-147.1228331091654
144;4.669544603400965;-144.7678446798553
145;48.575353360092265;-144.4782632712007
146;167.48869887903186;-144.27711398602654
147;260.4073720656934;-141.32158293953506
148;-64.78563524447335;-144.11034505192546
149;293.1352140109244;-141.00833485743573
150;288.3809549351886;-140.23103753614828
151;87.45901910526993;-137.56558142350187
152;12.394229461120773;-135.0055303788603
153;242.95263049923102;-132.01030996828575
154;210.00769124405792;-127.73507736235386
155;-196.22287730666585;-124.0345519528207
156;201.94371215236254;-118.07023516737421
157;222.80613871394797;-113.20694346868144
158;261.30606105401193;-109.8714730845024
159;228.48563305779973;-106.53386720939592
160;159.99725900342878;-100.07582812960423
161;284.55642362458923;-93.71559719369277
162;234.18089479122526;-89.5066675932704
163;-2.8986240776245893;-83.17376493184044
164;282.8946264513986;-74.62073665175474
165;274.68500407980605;-65.96629110572727
166;257.6028637115876;-58.22023487368535
167;261.44766590590393;-47.58199722915196
168;41.08042705074723;-42.02539907192815
169;-3.282265647975608;-36.41632739658616
170;-1.7181273535978683;-35.9634080174405
171;146.52632161096838;-32.39232017187473
172;215.48132319854443;-28.55056264563569
173;258.1036582311167;-25.781146743849032
174;-150.4528560477954;-25.943288984717523
175;-30.35715046124187;-25.062682970115475
176;303.56278196424256;-19.899622316291232
177;274.6821367575268;-16.91824784106524
178;136.68532690450786;-13.672840971835218
179;256.43638632020713;-9.163699742953453
180;246.86948255628195;-2.463882136611987
181;35.4244547585281;0.8856149876590362
182;2.711380809270409;1.1939038181148138
183;209.18580747905227;8.503792020529845
184;-11.813819804266885;10.00560369496558
185;187.03079782707997;12.684647914898191
186;168.1405852270534;17.846435348647994
187;234.7788686879391;22.022138362574054
188;-51.15618365052344;21.968419210799766
189;295.93975281476486;25.127990381090417
190;-123.24589607283349;26.039247090623448
191;253.47952379634646;30.48647305660977
192;239.59790174322745;33.95170465903891
193;283.2308438899797;39.12374441190123
194;255.48013642373357;42.560527075871825
195;314.09220632796377;46.85089096659381
196;282.30350556348543;50.352685766315126
197;283.2324435289578;56.42132078948039
198;282.8979816144378;59.682285227823904
199;322.0235158778646;64.94975764370693
200;255.23991416533298;70.68410348824214
201;-19.548419615832046;73.28821052468382
202;249.88395786926588;75.78151875468178
203;257.0582609188366;79.68515664599292
204;231.8330572911294;82.19500745838786
205;5.703046887761602;83.2091735347372
206;-61.587521670162864;83.88707321722666
207;4.882611370968277;87.12598559618041
208;301.3661984566992;89.54465287208782
209;-151.44555171306504;90.55387657193978
210;-84.4786222166325;93.42066243381424
211;279.759943466186;96.72401929317745
212;270.6681976150393;96.73039277400801
213;269.5354035957662;97.87179941138675
214;233.1881119419169;100.7701540827101
215;212.83335165515538;102.95958976345564
216;255.88384716801582;105.58920813706234
217;-162.15118572959716;105.09668036674806
218;208.40190910042477;108.1104297203692
219;273.3630760385193;111.81292995115818
220;237.2314789661251;114.7679524977661
221;209.61120241008086;117.906070750328
222;229.26433077788616;120.55243868282223
223;243.94200539151092;124.10451214091374
224;-79.11191172145662;126.20555339639449
225;214.71736885598162;128.9308068806907
226;-18.932526569849145;126.74685927975113
227;255.24210094568414;130.16974007360014
228;203.67492645654127;131.72610734528647
229;-44.21842160501731;134.05447270607138
230;-281.32631922114257;128.47723561796076
231;251.76770971970447;131.6514042546495
